iata	icao	name	municipality	lat	lon
AAA	NTGA	Anaa Airport	Anaa	-17.352600	-145.509995
AAB	YARY	Arrabury Airport	Tanbar	-26.696390	141.048718
AAC	HEAR	El Arish International Airport	El Arish	31.055324	33.827964
AAD	HCAD	Adado Airport	Adado	6.095802	46.637500
AAE	DABB	Annaba Rabah Bitat Airport	Annaba	36.826781	7.813340
AAF	KAAF	Apalachicola Regional Airport	Apalachicola	29.727501	-85.027496
AAH	EDKA	Aachen-Merzbrück Airport	Aachen	50.823055	6.186389
AAI	BR-2149	Arraias Airport	Arraias	-13.025154	-46.884107
AAJ	SMCA	Cayana Airstrip	Awaradam	3.898681	-55.577907
AAK	NGUK	Aranuka Airport	Buariki	0.185278	173.636993
AAL	EKYT	Aalborg Airport	Aalborg	57.094763	9.849930
AAM	FAMD	Malamala Airport	Malamala	-24.816866	31.544085
AAN	OMAL	Al Ain International Airport	Al Ain	24.261700	55.609200
AAO	SVAN	Anaco Airport	Anaco	9.430225	-64.470726
AAP	WALS	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda	-0.374478	117.250128
AAQ	URKA	Anapa Vityazevo Airport	Krasnyi Kurgan	45.002102	37.347301
AAR	EKAH	Aarhus Airport	Aarhus	56.303331	10.618286
AAS	ID-AAS	Apalapsili Airport	Apalapsili	-3.882495	139.310932
AAT	ZWAT	Altay Xuedu Airport	Altay	47.749886	88.085808
AAU	NSAU	Asau Airport	Asau	-13.505132	-172.627888
AAV	RPMA	Allah Valley Airport	Surallah	6.367903	124.752431
AAX	SBAX	Romeu Zema Airport	Araxá	-19.563200	-46.960400
AAY	OYGD	Al Ghaydah International Airport	Al Ghaydah	16.193341	52.174186
AAZ	MGQZ	Quezaltenango Airport	Quezaltenango	14.865600	-91.501999
ABA	UNAA	Abakan International Airport	Abakan	53.740002	91.385002
ABB	DNAS	Asaba International Airport	Asaba	6.204167	6.665278
ABC	LEAB	Albacete Airport / Los Llanos Air Base	Albacete	38.948502	-1.863520
ABD	OIAA	Abadan Ayatollah Jami International Airport	Abadan	30.367887	48.230075
ABE	KABE	Lehigh Valley International Airport	Allentown/Bethlehem	40.651773	-75.442797
ABF	NGAB	Abaiang Airport	Abaiang	1.798610	173.041000
ABG	YABI	Abingdon Downs Airport	Abingdon Downs	-17.608814	143.183531
ABH	YAPH	Alpha Airport	Alpha	-23.652849	146.582668
ABI	KABI	Abilene Regional Airport	Abilene	32.411301	-99.681900
ABJ	DIAP	Félix-Houphouët-Boigny International Airport	Abidjan	5.261390	-3.926290
ABK	HAKD	Kebri Dahar Airport	Kebri Dahar	6.732577	44.241339
ABL	PAFM	Ambler Airport	Ambler	67.105529	-157.855339
ABM	YNPE	Northern Peninsula Airport	Bamaga	-10.946194	142.455081
ABN	SMBN	Albina Airport	Albina	5.512720	-54.050098
ABO	DIAO	Aboisso Airport	Aboisso	5.461944	-3.234722
ABP	ABP	Atkamba Airport	Atkamba Mission	-6.064620	141.095173
ABQ	KABQ	Albuquerque International Sunport	Albuquerque	35.039976	-106.608925
ABR	KABR	Aberdeen Regional Airport	Aberdeen	45.449100	-98.421799
ABS	HEBL	Abu Simbel Airport	Abu Simbel	22.375924	31.611734
ABT	OEBA	King Saud Bin Abdulaziz (Al Baha) Airport	Al-Baha	20.298506	41.636153
ABU	WATA	AA Bere Tallo (Haliwen) Airport	Atambua	-9.074841	124.903285
ABV	DNAA	Nnamdi Azikiwe International Airport	Abuja	9.006790	7.263170
ABX	YMAY	Albury Airport	East Albury	-36.066758	146.959148
ABY	KABY	Southwest Georgia Regional Airport	Albany	31.532946	-84.196215
ABZ	EGPD	Aberdeen International Airport	Aberdeen	57.201900	-2.197780
ACA	MMAA	General Juan N. Álvarez International Airport	Acapulco	16.757126	-99.753113
ACB	KACB	Antrim County Airport	Bellaire	44.988602	-85.198402
ACC	DGAA	Kotoka International Airport	Accra	5.605190	-0.166786
ACD	SKAD	Alcides Fernández Airport	Acandí	8.497847	-77.274106
ACE	GCRR	César Manrique-Lanzarote Airport	San Bartolomé	28.945499	-13.605200
ACF	ZWAL	Aral Tarim Airport	Aral	40.434748	81.262060
ACH	LSZR	Sankt Gallen Altenrhein Airport	St. Gallen	47.485001	9.560770
ACI	EGJA	Alderney Airport	Saint Anne	49.706104	-2.214720
ACJ	VCCA	Anuradhapura Airport	Anuradhapura	8.301542	80.428480
ACK	KACK	Nantucket Memorial Airport	Nantucket	41.253101	-70.060204
ACM	ACM	Arica Airport	Arica	-2.143713	-71.759350
ACN	MMCC	Ciudad Acuña International Airport	Ciudad Acuña	29.333662	-101.100555
ACO	CR-0006	Cóbano Airport	Cóbano	9.693365	-85.091216
ACP	OITM	Sahand Airport	Maragheh	37.348000	46.127899
ACR	SKAC	Araracuara Airport	Araracuara	-0.600854	-72.398011
ACS	UNKS	Achinsk Airport	Achinsk	56.269185	90.575110
ACT	KACT	Waco Regional Airport	Waco	31.611300	-97.230499
ACU	PA-0001	Achutupu Airport	Mamitupu	9.188481	-77.994153
ACV	KACV	California Redwood Coast-Humboldt County Airport	Arcata/Eureka	40.978101	-124.109000
ACX	ZUYI	Xingyi Wanfenglin Airport	Xingyi	25.083423	104.960804
ACY	KACY	Atlantic City International Airport	Atlantic City	39.456201	-74.577511
ACZ	OIZB	Zabol Airport	Zabol	31.098301	61.543900
ADA	LTAF	Adana Şakirpaşa Airport	Seyhan	36.982201	35.280399
ADB	LTBJ	Adnan Menderes International Airport	Gaziemir	38.292400	27.157000
ADC	AYAN	Andakombe Airport	Andekombe	-7.137222	145.744722
ADD	HAAB	Addis Ababa Bole International Airport	Addis Ababa	8.977890	38.799301
ADE	OYAA	Aden International Airport	Aden	12.829564	45.029976
ADF	LTCP	Adıyaman Airport	Adıyaman	37.731400	38.468899
ADG	KADG	Lenawee County Airport	Adrian	41.866205	-84.077983
ADH	UEEA	Aldan Airport	Aldan	58.602798	125.408997
ADI	FYAR	Arandis Airport	Arandis	-22.461875	14.979322
ADJ	OJAM	Marka International (Amman Civil) Airport	Amman	31.972700	35.991600
ADK	PADK	Adak Airport	Adak	51.883564	-176.642783
ADL	YPAD	Adelaide International Airport	Adelaide	-34.947512	138.533393
ADM	KADM	Ardmore Municipal Airport	Ardmore	34.303010	-97.019634
ADO	YAMK	Andamooka Airport	Andamooka	-30.438299	137.136993
ADP	VCCG	Ampara Airport	Ampara	7.336745	81.623869
ADQ	PADQ	Kodiak Airport	Kodiak	57.750000	-152.494003
ADR	KPHH	Robert F Swinnie Airport	Andrews	33.451698	-79.526199
ADS	KADS	Addison Airport	Dallas	32.968601	-96.836403
ADT	KADH	Ada Regional Airport	Ada	34.805214	-96.671988
ADU	OITL	Ardabil Airport	Ardabil	38.325699	48.424400
ADV	ADV	El Daein Airport	El Daein	11.402300	26.118600
ADW	KADW	Joint Base Andrews	Camp Springs	38.810799	-76.866997
ADX	EGQL	Leuchars Station Airfield	Leuchars, Fife	56.373980	-2.868862
ADY	FAAL	Alldays Airport	Alldays	-22.679001	29.055500
ADZ	SKSP	Gustavo Rojas Pinilla International Airport	San Andrés	12.583600	-81.711200
AEA	NGTB	Abemama Airport	Abemama	0.490759	173.830287
AEB	ZGBS	Baise (Bose) Bama Airport	Baise (Tianyang)	23.720600	106.959999
AEE	AEE	Adareil Airport	Adar	10.053611	32.959444
AEG	WIME	Aek Godang Airport	Padang Sidempuan	1.400100	99.430496
AEH	FTTC	Abeche Airport	Abeche	13.847000	20.844299
AEK	AYAX	Aseki Airport	Aseki	-7.350805	146.193994
AEL	KAEL	Albert Lea Municipal Airport	Albert Lea	43.681499	-93.367203
AEM	UHTG	Amgu Airport	Amgu	45.841260	137.673568
AEO	GQNA	Aioun el Atrouss Airport	Aioun El Atrouss	16.711300	-9.637880
AEP	SABE	Aeroparque Jorge Newbery	Buenos Aires	-34.559419	-58.415536
AEQ	AEQ	Ar Horqin Airport	Chifeng	43.908407	120.150990
AER	URSS	Sochi International Airport	Sochi	43.449902	39.956600
AES	ENAL	Ålesund Airport	Ålesund	62.560443	6.110845
AET	PFAL	Allakaket Airport	Allakaket	66.551804	-152.621994
AEU	OIBA	Abu Musa Island Airport	Abu Musa	25.875700	55.033001
AEX	KAEX	Alexandria International Airport	Alexandria	31.325828	-92.546702
AEY	BIAR	Akureyri International Airport	Akureyri	65.656573	-18.072018
AFA	SAMR	Suboficial Ay Santiago Germano Airport	San Rafael	-34.588299	-68.403900
AFD	FAPA	Port Alfred Airport	Port Alfred	-33.555057	26.881656
AFF	KAFF	USAF Academy Airfield	Colorado Springs	38.972497	-104.821125
AFI	SKAM	Amalfi Airport	Amalfi	6.895033	-75.047334
AFL	SBAT	Piloto Osvaldo Marques Dias Airport	Alta Floresta	-9.866389	-56.106298
AFN	KAFN	Jaffrey Airfield Silver Ranch Airport	Jaffrey	42.805099	-72.002998
AFO	KAFO	Afton Municipal Airport	Afton	42.711201	-110.942001
AFR	AYAF	Afore Airstrip	Afore	-9.138670	148.390701
AFS	UZSN	Sugraly Airport	Zarafshan	41.613795	64.232963
AFT	AGAF	Afutara Aerodrome	Bila	-9.191389	160.948611
AFW	KAFW	Perot Field/Fort Worth Alliance Airport	Fort Worth	32.990440	-97.319470
AFY	LTAH	Afyon Air Base	Afyonkarahisar	38.726398	30.601101
AFZ	OIMS	Sabzevar National Airport	Sabzevar	36.168098	57.595200
AGA	GMAD	Al Massira Airport	Agadir (Temsia)	30.322478	-9.412003
AGB	EDMA	Augsburg Airport	Augsburg	48.425278	10.931667
AGC	KAGC	Allegheny County Airport	Pittsburgh	40.354401	-79.930199
AGD	ID-AGD	Anggi Airport	Anggi-Papua Island	-1.385800	133.873700
AGE	EDWG	Wangerooge Airport	Wangerooge	53.782544	7.919584
AGF	LFBA	Agen La Garenne airport	Agen	44.174171	0.593090
AGG	AGG	Angoram Airport	Angoram	-4.057077	144.073841
AGH	ESTA	Ängelholm-Helsingborg Airport	Ängelholm	56.296101	12.847100
AGI	SMWA	Wageningen Airstrip	Wageningen	5.841252	-56.673247
AGJ	RORA	Aguni Airport	Aguni	26.592755	127.240335
AGK	AGK	Kagua Airport	Kagua	-6.396389	143.853611
AGL	AYWG	Wanigela Airport	Wanigela	-9.337500	149.155556
AGO	KAGO	Magnolia Municipal Airport / Ralph C Weiser Field	Magnolia	33.228001	-93.217002
AGP	LEMG	Málaga-Costa del Sol Airport	Málaga	36.674900	-4.499110
AGR	VIAG	Agra Airport / Agra Air Force Station	Agra	27.157975	77.961025
AGS	KAGS	Augusta Regional At Bush Field	Augusta	33.369900	-81.964500
AGT	SGES	Guaraní International Airport	Ciudad del Este	-25.457186	-54.839544
AGU	MMAS	Aguascalientes International Airport	Aguascalientes	21.699589	-102.318372
AGV	SVAC	Oswaldo Guevara Mujica Airport	Acarigua	9.553375	-69.237869
AGW	AU-AGW	Agnew Airport	Agnew	-12.145600	142.149369
AGX	VOAT	Agatti Airport	Agatti	10.823700	72.176003
AGZ	FAAG	Aggeneys Airport	Aggeneys	-29.281799	18.813900
AHA	VEAP	Maa Mahamaya Airport	Ambikapur	22.987530	83.196120
AHB	OEAB	Abha International Airport	Abha	18.240400	42.656601
AHC	KAHC	Amedee Army Air Field	Herlong	40.266201	-120.153000
AHD	K1F0	Ardmore Downtown Executive Airport	Ardmore	34.146999	-97.122704
AHE	NTHE	Ahe Airport	Ahe Atoll	-14.428100	-146.257004
AHF	K37V	Arapahoe Municipal Airport	Arapahoe	40.341576	-99.907839
AHG	MU-0001	Agalega Island Airstrip	Vingt Cinq	-10.373100	56.609798
AHH	KAHH	Amery Municipal Airport	Amery	45.281101	-92.375397
AHI	WAPA	Amahai Airport	Amahai	-3.347851	128.927093
AHJ	ZUHY	Hongyuan Airport	Ngawa (Hongyuan)	32.531540	102.352240
AHL	SYAH	Aishalton Airport	Aishalton	2.474030	-59.320786
AHM	KS03	Ashland Municipal Airport Sumner Parker Field	Ashland	42.190265	-122.660648
AHN	KAHN	Athens Ben Epps Airport	Athens	33.948842	-83.325634
AHO	LIEA	Alghero-Fertilia Airport	Alghero	40.632099	8.290770
AHS	MHAH	Ahuas Airport	Ahuas	15.472200	-84.352203
AHU	GMTA	Cherif Al Idrissi Airport	Al Hoceima	35.177101	-3.839520
AHY	AHY	Ambatolhy Airport	Ambatolahy	-20.015833	45.535000
AHZ	LFHU	L'Alpe d'Huez - Henri Giraud Altiport	Huez, Isère	45.087399	6.083604
AIA	KAIA	Alliance Municipal Airport	Alliance	42.052543	-102.803965
AIC	AIP	Ailinglaplap Airok Airport	Bigatyelang Island	7.279422	168.825700
AID	KAID	Anderson Municipal Darlington Field	Anderson	40.108601	-85.612999
AIE	AYAO	Aiome Airport	Aiome	-5.145700	144.730700
AIF	SNAX	Marcelo Pires Halzhausen Airport	Assis	-22.638601	-50.455983
AIG	FEFY	Yalinga Airport	Yalinga	6.520000	23.260000
AIH	AYAK	Aiambak Airport	Aiambak	-7.342778	141.267500
AII	HDAS	Ali-Sabieh Airport	Ali-Sabieh	11.146889	42.720000
AIK	KAIK	Aiken Regional Airport	Aiken	33.649399	-81.684998
AIL	PA-0003	Ailigandí Airport	Isla Lorenzo Bello	9.222600	-78.023600
AIM	MH-AIM	Ailuk Airport	Ailuk Island	10.216800	169.983002
AIN	PAWI	Wainwright Airport	Wainwright	70.638000	-159.994995
AIO	KAIO	Atlantic Municipal Airport	Atlantic	41.407299	-95.046898
AIP	VIAX	Adampur Airport	Adampur	31.433800	75.758797
AIR	SSOU	Aripuanã Airport	Aripuanã	-10.187375	-59.457469
AIS	NGTR	Arorae Island Airport	Arorae Island	-2.616233	176.802209
AIT	NCAI	Aitutaki Airport	Aitutaki	-18.830900	-159.764008
AIU	NCAT	Enua Airport	Atiu Island	-19.967800	-158.119003
AIV	KAIV	George Downer Airport	Aliceville	33.106499	-88.197800
AIW	FYAA	Ai-Ais Airport	Ai-Ais	-27.995000	17.596600
AIY	SNUI	Araçuaí Airport	Araçuaí	-16.851571	-42.045633
AIZ	KAIZ	Lee C Fine Memorial Airport	Kaiser Lake Ozark	38.096001	-92.549500
AJA	LFKJ	Ajaccio Napoléon Bonaparte airport	Ajaccio	41.923599	8.802920
AJF	OESK	Al-Jawf International Airport	Al-Jawf	29.783301	40.100905
AJI	LTCO	Ağrı Airport	Ağrı	39.655642	43.025742
AJJ	GQNJ	Akjoujt Airport	Akjoujt	19.727998	-14.377214
AJK	OIHR	Arak Airport	Araak	34.138100	49.847301
AJL	VELP	Lengpui Airport	Aizawl (Lengpui)	23.840599	92.619698
AJN	FMCV	Ouani Airport	Ouani	-12.131047	44.430044
AJR	ESNX	Arvidsjaur Airport	Arvidsjaur	65.590302	19.281900
AJS	MX-AJS	Punta Abreojos Airport	Mulegé	26.727200	-113.558998
AJU	SBAR	Aracaju - Santa Maria Airport	Aracaju	-10.983940	-37.072873
AJY	DRZA	Mano Dayak International Airport	Agadez	16.966000	8.000110
AKA	ZLAK	Ankang Fuqiang Airport	Ankang (Hanbin)	32.756960	108.873380
AKB	PAAK	Atka Airport	Atka	52.220299	-174.205994
AKC	KAKR	Akron Fulton International Airport	Akron	41.037355	-81.467840
AKD	VAAK	Akola Airport	Akola	20.698931	77.056883
AKE	FOGA	Akieni Airport	Akieni	-1.139670	13.903600
AKF	HLKF	Kufra Airport	Kufra	24.178699	23.313999
AKG	AYGU	Anguganak Airport	Anguganak	-3.560504	142.217307
AKH	OEPS	Prince Sultan Air Base	Al Kharj	24.062700	47.580502
AKI	PFAK	Akiak Airport	Akiak	60.902646	-161.231060
AKJ	RJEC	Asahikawa Airport	Higashikagura	43.670799	142.447006
AKK	PAKH	Akhiok Airport	Akhiok	56.938702	-154.182999
AKL	NZAA	Auckland International Airport	Auckland	-37.011990	174.786331
AKM	AKM	Zakuoma Airport	ZaKouma	10.890278	19.817222
AKN	PAKN	King Salmon Airport	King Salmon	58.677845	-156.651965
AKO	KAKO	Colorado Plains Regional Airport	Akron	40.175598	-103.222000
AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass	68.133598	-151.742996
AKQ	ID-AKQ	Astra Ksetra Airport	Menggala	-4.611588	105.231968
AKR	DNAK	Akure Airport	Akure	7.246740	5.301010
AKS	AGGA	Gwaunaru'u Airport	Auki	-8.702570	160.682007
AKT	LCRA	RAF Akrotiri	Akrotiri	34.590401	32.987900
AKU	ZWAK	Aksu Hongqipo Airport	Aksu (Onsu)	41.262501	80.291702
AKV	CYKO	Akulivik Airport	Akulivik	60.818600	-78.148598
AKW	OIAG	Aghajari Airport	Omidiyeh	30.744400	49.677200
AKX	UATT	Aktobe International Airport	Aktobe	50.248116	57.204144
AKY	VYSW	Sittwe Airport	Sittwe	20.133165	92.870693
ALA	UAAA	Almaty International Airport	Almaty	43.354267	77.042828
ALB	KALB	Albany International Airport	Albany	42.748299	-73.801697
ALC	LEAL	Alicante-Elche Miguel Hernández Airport	Alicante	38.282200	-0.558156
ALD	SPAR	Alerta Airport	Fortaleza	-11.650180	-69.229614
ALE	KE38	Alpine Casparis Municipal Airport	Alpine	30.384199	-103.683998
ALF	ENAT	Alta Airport	Alta	69.976097	23.371700
ALG	DAAG	Houari Boumediene Airport	Algiers	36.693886	3.214531
ALH	YABA	Albany Airport	Albany	-34.943333	117.808889
ALI	KALI	Alice International Airport	Alice	27.740900	-98.026901
ALJ	FAAB	Alexander Bay Airport	Alexander Bay	-28.575001	16.533300
ALM	KALM	Alamogordo White Sands Regional Airport	Alamogordo	32.837818	-105.993149
ALN	KALN	St Louis Regional Airport	Alton/St Louis	38.890301	-90.045998
ALO	KALO	Waterloo Regional Airport	Waterloo	42.557098	-92.400299
ALP	OSAP	Aleppo International Airport	Aleppo	36.181262	37.226869
ALQ	SSLT	Alegrete Novo Airport	Alegrete	-29.811595	-55.894707
ALR	NZLX	Alexandra Aerodrome	Alexandra	-45.210495	169.371113
ALS	KALS	San Luis Valley Regional Airport/Bergman Field	Alamosa	37.434898	-105.866997
ALT	BR-ALT	Alenquer Municipal Airport	Alenquer	-1.917000	-54.723100
ALU	HCMA	Alula Airport	Alula	11.958200	50.748000
ALW	KALW	Walla Walla Regional Airport	Walla Walla	46.094898	-118.288002
ALX	KALX	Thomas C Russell Field	Alexander City	32.914700	-85.962997
AMA	KAMA	Rick Husband Amarillo International Airport	Amarillo	35.217857	-101.706444
AMB	FMNE	Ambilobe Airport		-13.188400	48.987999
AMC	FTTN	Am Timan Airport	Am Timan	11.034000	20.274000
AMD	VAAH	Sardar Vallabh Patel International Airport	Ahmedabad	23.077200	72.634697
AME	AME	Alto Molocue Airport	Alto Molocue	-15.610278	37.681389
AMF	AYAA	Ama Airport		-4.101111	141.670000
AMH	HAAM	Arba Minch Airport	Arba Minch	6.039390	37.590500
AMJ	SNAR	Cirilo Queiróz Airport	Almenara	-16.165579	-40.684024
AMK	K00C	Animas Air Park	Durango	37.203201	-107.869003
AML	PA-AML	Puerto Armuelles Airport	Puerto Armuelles	8.267667	-82.864537
AMM	OJAI	Queen Alia International Airport	Amman	31.722601	35.993198
AMN	KAMN	Gratiot Community Airport	Alma	43.322102	-84.688004
AMO	FTTU	Mao Airport	Mao	14.145600	15.314400
AMP	FMSY	Ampanihy Airport	Ampanihy	-24.699699	44.734200
AMQ	WAPP	Pattimura International Airport	Ambon	-3.710260	128.089005
AMS	EHAM	Amsterdam Airport Schiphol	Amsterdam	52.308601	4.763890
AMT	YAMT	Amata Airport		-26.097363	131.202732
AMU	AYAM	Amanab Airport	Amanab	-3.586000	141.214333
AMV	ULDD	Amderma Airport	Amderma	69.763298	61.556400
AMW	KAMW	Ames Municipal Airport	Ames	41.992001	-93.621803
AMX	YAMM	Ammaroo Airport		-21.738300	135.242004
AMY	FMMB	Ambatomainty Airport		-17.686667	45.623889
AMZ	NZAR	Ardmore Airport	Manurewa	-37.029701	174.973007
ANA	KE-6112	Angama Mara Airport	Lolgorien	-1.271586	34.954666
ANB	KANB	Anniston Regional Airport	Anniston	33.588200	-85.858100
ANC	PANC	Ted Stevens Anchorage International Airport	Anchorage	61.179004	-149.992561
AND	KAND	Anderson Regional Airport	Anderson	34.494598	-82.709396
ANE	LFJR	Angers Marcé airport	Angers	47.560299	-0.312222
ANF	SCFA	Andrés Sabella Gálvez International Airport	Antofagasta	-23.445274	-70.445232
ANG	LFBU	Angoulême Brie-Champniers airport	Angoulême	45.729198	0.221456
ANI	PANI	Aniak Airport	Aniak	61.581600	-159.542999
ANJ	FCBZ	Zanaga Airport	Zanaga	-2.846651	13.821155
ANK	LTAD	Etimesgut Air Base	Ankara	39.949799	32.688599
ANL	AO-0005	Andulo Airport	Andulo	-11.472300	16.710899
ANM	FMNH	Antsirabe Airport	Antsirabe	-14.999400	50.320202
ANN	PANT	Annette Island Airport	Metlakatla	55.037663	-131.572609
ANO	FQAG	Angoche Airport	Angoche	-16.181870	39.945217
ANP	KANP	Lee Airport	Annapolis	38.942902	-76.568398
ANQ	KANQ	Tri State Steuben County Airport	Angola	41.639702	-85.083504
ANR	EBAW	Antwerp International Airport (Deurne)	Antwerp	51.190667	4.463153
ANS	SPHY	Andahuaylas Airport	Andahuaylas	-13.706400	-73.350403
ANU	TAPA	V. C. Bird International Airport	Osbourn	17.136700	-61.792702
ANV	PANV	Anvik Airport	Anvik	62.646702	-160.190994
ANW	KANW	Ainsworth Regional Airport	Ainsworth	42.579201	-99.992995
ANX	ENAN	Andøya Airport, Andenes	Andenes	69.295193	16.139379
ANY	KANY	Anthony Municipal Airport	Anthony	37.158501	-98.079597
ANZ	ANZ	Angus Downs Airport	Angus Downs Station	-25.032500	132.274800
AOB	AOB	Annanberg Airport		-4.904167	144.635833
AOC	EDAC	Leipzig–Altenburg Airport	Nobitz	50.981945	12.506389
AOD	AOD	Abou-Deïa Airport	Abou-Deïa	11.477300	19.287400
AOE	LTBY	Hasan Polatkan Airport	Eskişehir	39.811644	30.519268
AOG	ZYAS	Anshan Teng'ao Airport / Anshan Air Base	Anshan	41.105301	122.853996
AOH	KAOH	Lima Allen County Airport	Lima	40.706902	-84.026703
AOI	LIPY	Marche Airport	Falconara Marittima (AN)	43.616299	13.362300
AOJ	RJSA	Aomori Airport	Aomori	40.733777	140.689477
AOK	LGKP	Karpathos Airport	Karpathos Island	35.421398	27.146000
AOL	SARL	Paso De Los Libres Airport	Paso de los Libres	-29.689400	-57.152100
AOM	OM-0002	Adam Airport	Adam	22.491944	57.383889
AOO	KAOO	Altoona Blair County Airport	Altoona	40.296398	-78.320000
AOP	SPAS	Alferez FAP Alfredo Vladimir Sara Bauer Airport	Andoas	-2.796130	-76.466599
AOR	WMKA	Sultan Abdul Halim Airport	Alor Satar	6.189670	100.398003
AOT	LIMW	Aosta Corrado Gex Airport	Saint-Christophe (AO)	45.738552	7.368300
AOU	VLAP	Attopeu Airport	Attopeu	14.793056	107.045278
APA	KAPA	Centennial Airport	Denver	39.570099	-104.848999
APB	SLAP	Apolo Airport	Apolo	-14.735600	-68.411903
APC	KAPC	Napa County Airport	Napa	38.213200	-122.280998
APD	WAWN	Arung Palakka Airport	Bone	-4.459582	120.310436
APF	KAPF	Naples Municipal Airport	Naples	26.152599	-81.775299
APG	KAPG	Phillips Army Air Field	Aberdeen	39.466202	-76.168800
APH	KAPH	Mary Walker LZ Airport	Bowling Green	38.068631	-77.319318
API	SKAP	Gomez Nino Apiay Air Base	Apiay	4.076070	-73.562700
APJ	ZUPL	Ali Pulan Airport	Burang Town	30.397898	81.133170
APK	NTGD	Apataki Airport	Apataki	-15.573600	-146.414993
APL	FQNP	Nampula Airport	Nampula	-15.105600	39.281799
APN	KAPN	Alpena County Regional Airport	Alpena	45.078098	-83.560303
APO	SKLC	Antonio Roldán Betancur Airport	Carepa	7.811960	-76.716400
APP	APP	Asapa Airport		-8.979167	148.103611
APQ	SNAL	Arapiraca Airport	Arapiraca	-9.776589	-36.628983
APR	AYPE	April River Airport	April River	-4.676667	142.540139
APS	SWNS	Anápolis Airport	Anápolis	-16.363575	-48.928800
APT	KAPT	Marion County Airport - Brown Field	Jasper	35.060699	-85.585297
APU	SSAP	Captain João Busse Airport	Apucarana	-23.609099	-51.384301
APV	KAPV	Apple Valley Airport	Apple Valley	34.575298	-117.185997
APW	NSFA	Faleolo International Airport	Apia	-13.830000	-172.007996
APX	SSOG	Arapongas Airport	Arapongas	-23.352636	-51.491967
APY	BR-2757	Alto Parnaíba Airport	Alto Parnaíba	-9.085330	-45.955603
APZ	SAHZ	Zapala Airport	Zapala	-38.975498	-70.113602
AQA	SBAQ	Araraquara Airport	Araraquara	-21.812000	-48.132999
AQB	MGQC	Quiché Airport	Santa Cruz del Quiché	15.012200	-91.150597
AQG	ZSAQ	Anqing Tianzhushan Airport / Anqing North Air Base	Anqing	30.582199	117.050003
AQI	OEPA	Qaisumah–Hafar Al-Batin International Airport	Qaisumah	28.335726	46.127108
AQJ	OJAQ	King Hussein International Airport	Aqaba	29.611601	35.018101
AQM	SJOG	Ariquemes Airport	Ariquemes	-9.880436	-63.047115
AQP	SPQU	Rodríguez Ballón International Airport	Arequipa	-16.340786	-71.569485
AQY	AQY	Girdwood-Alyeska Airport	Girdwood	60.968774	-149.119792
ARA	KARA	Acadiana Regional Airport	New Iberia	30.037800	-91.883904
ARB	KARB	Ann Arbor Municipal Airport	Ann Arbor	42.223000	-83.745598
ARC	PARC	Arctic Village Airport	Arctic Village	68.114700	-145.578995
ARD	WATM	Alor Island - Mali Airport	Kabola	-8.132340	124.597000
ARE	TJAB	Antonio Nery Juarbe Pol Airport	Arecibo	18.450850	-66.675768
ARF	SK-471	Acaricuara Airport	Acaricuara	0.533333	-70.133333
ARG	KARG	Walnut Ridge Regional Airport	Walnut Ridge	36.124667	-90.925111
ARH	ULAA	Talagi Airport	Archangelsk	64.600304	40.716702
ARI	SCAR	Chacalluta International Airport	Arica	-18.348499	-70.338699
ARK	HTAR	Arusha Airport	Arusha	-3.367790	36.633301
ARL	DFER	Arly Airport	Arly	11.597000	1.483000
ARM	YARM	Armidale Airport	Armidale	-30.528099	151.617004
ARN	ESSA	Stockholm-Arlanda Airport	Stockholm	59.648490	17.928829
ARO	SK-005	Arboletes Airport	Arboletes	8.855118	-76.422676
ARP	ARP	Aragip Airport		-9.883333	149.483333
ARQ	SKAT	El Troncal Airport	Arauquita	7.021060	-71.388901
ARR	SAVR	D. Casimiro Szlapelis Airport	Alto Rio Senguerr	-45.013599	-70.812202
ARS	SJVO	Aragarças Airport	Aragarças	-15.899400	-52.241100
ART	KART	Watertown International Airport	Watertown	43.991901	-76.021698
ARU	SBAU	Araçatuba Airport	Araçatuba	-21.141479	-50.424575
ARV	KARV	Lakeland Airport Noble F Lee Memorial Field	Woodruff	45.927898	-89.730904
ARW	LRAR	Arad International Airport	Arad	46.176136	21.264322
ARX	SBAC	Aracati Dragão do Mar Regional Airport	Aracati	-4.568896	-37.805135
ARY	YARA	Ararat Airport	Ararat	-37.309978	142.988688
ARZ	FNZE	N'zeto Airport	N'zeto	-7.259277	12.862355
ASA	HHSB	Assab International Airport	Assab	13.071800	42.645000
ASB	UTAA	Ashgabat International Airport	Ashgabat	37.986801	58.361000
ASC	SLAS	Ascención de Guarayos Airport	Ascensión de Guarayos	-15.933365	-63.155575
ASD	MYAF	Andros Town Airport	Andros Town	24.697901	-77.795601
ASE	KASE	Aspen-Pitkin County Airport (Sardy Field)	Aspen	39.223202	-106.869003
ASF	URWA	Astrakhan Narimanovo Boris M. Kustodiev International Airport	Astrakhan	46.282843	48.010511
ASG	NZAS	Ashburton Airport	Ashburton	-43.903301	171.796997
ASH	KASH	Nashua Airport / Boire Field	Nashua	42.781700	-71.514801
ASI	FHAW	RAF Ascension Island	Cat Hill	-7.970179	-14.392744
ASJ	RJKA	Amami Airport	Amami	28.430599	129.712997
